Year,Canton,Permit,Taxable Incomes,Tax parameter,Value,,,,,,,,,
2017,SO,C,"CHF150,000.00",Federal tax,"CHF5,434.80",,,,,,,,,
2017,SO,C,"CHF150,000.00",Cantonal Tax,"CHF10,821.00",,,,,,,,,
2017,SO,C,"CHF150,000.00",Total Tax,"CHF16,255.80",,,,,,,,,
2017,SO,C,"CHF150,000.00",Tax perc.,10.84%,,,,,,,,,
2017,SO,C,"CHF116,000.00",Federal tax,"CHF2,319.60",,,,,,,,,
2017,SO,C,"CHF116,000.00",Cantonal Tax,"CHF7,486.20",,,,,,,,,
2017,SO,C,"CHF116,000.00",Total Tax,"CHF9,805.80",,,,,,,,,
2017,SO,C,"CHF116,000.00",Tax perc.,8.45%,,,,,,,,,
2016,BE,C,"CHF126,000.00",Federal tax,"CHF5,850.60",,,,,,,,,
2016,BE,C,"CHF126,000.00",Cantonal Tax,"CHF29,515.65",,,,,,,,,
2016,BE,C,"CHF126,000.00",Total Tax,"CHF35,366.25",,,,,,,,,
2016,BE,C,"CHF126,000.00",Tax perc.,28.07%,,,,,,,,,
2016,BE,C,"CHF112,000.00",Federal tax,"CHF2,590.20",,,,,,,,,
2016,BE,C,"CHF112,000.00",Cantonal Tax,"CHF19,279.15",,,,,,,,,
2016,BE,C,"CHF112,000.00",Total Tax,"CHF21,869.35",,,,,,,,,
2016,BE,C,"CHF112,000.00",Tax perc.,19.53%,,,,,,,,,
